uniq_id,rating,sentiment
"B000E33VZE:amazing_in_color:r_w_simpson_""tv-holic""",5,1
B00024I2TA:awesome:newton_ooi,5,1
"B00005JKTY:big_fun!:marjorie_j._glasscock_""margio""",5,1
B000E33VZE:great!_just_superb!!:josephine_miguel,5,1
"B0006N2DS8:we_need_more_movies_like_this!:danielle_jansen_""chloe_jansen""",5,1
"B000BVM1UK:the_house_of_eliot_-_series_2:n._howard_""creamerymaid""",5,1
B00005JKTY:this_is_a_good_one:a._harrington,5,1
"B00003CXA6:civil_war_magnitude:frank_h._crisman_""frank_crisman""",5,1
"B0000TG9E2:disney's_70's_psychedelia_made_in_the_50's:cloud_""...""",2,0
"B00024I2TA:hidalgo:dbwith_""dbwith""",5,1
"B0000TG9E2:excellent_fantasy,_with_provisos_:lonnie_e._holder_""the_review's_the_thing""",5,1
B00005LC5D:one_of_the_funniest_movies_of_the_past_decade:robert_w._moore,5,1
B000BVM1UK:the_house_of_eliott:anni_rooth,5,1
"B00005LC5D:""funniest_movie_ever?""_-_not_even_close!:david_f._nolan",1,0
"B0006N2DS8:i_agree_with_""unwatchable."":lovely_to_see_you",5,0
"B00003CXA6:i_wish_i_was_in_dixie...:eric_""trampster""",5,1
B0000YWQ26:our_kids_love_this_dvd_and_burn_lots_of_energy_with_it!!:m._brabant,5,1
B0002CX1WA:thumbs_up:c._chee,5,1
"B00064LJVE:god_awful:jason_ojeda_""beeniebeeniebombom""",1,0
"B0006N2DS8:the_start_of_something_big!:film_lovin'_nurse_""r._fox""",5,1
"B0000YWQ26:simply_the_best!__-_and_i've_seen_my_share:kids_fitness_""kf""",5,1
B0000TG9E2:great_family_fun:pinky,5,1
"B0000YWQ26:great_instruction,_great_program,_great_fun:kris_h_1224",5,1
B00004CWNR:by_far_john's_best!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!:james_shannon_bussey,5,1
"B000E33VZE:i_dream_of_this_dvd_release!:daniel_l._miller_""dannyboy""",5,1
"B00004CWNR:john_grisham's_novel_brought_to_live_by_a_stellar_cast_and_preformances_:shelly_t,_""czarinaanya""",5,1
"B0000TG9E2:alice_in_the_wonderland:cheryl_l._giardina_""blue_lagoon""",5,1
"B000E33VZE:one_of_my_favorites,_but_wheres_the_info?:robert_bauer",5,1
B00004CWNR:a_time_to_kill:cj's_digest,5,1
"B0000YWQ26:great_motivator:b._kline_""couch_critic""",5,1
"B000BVM1UK:series_4__house_of_eliott:tamsem_""tams""",5,1
B00005LC5D:absolutely_hilarious:sarah_borkowski,5,1
B0000YWQ26:awesome_video!:mom_of_2,5,1
B00003CXA6:no_doubt_it's_great:j._greller,5,1
"B00005JKTY:must_for_school-aged_kids:m._johnson_""boone""",5,1
B00004CWNR:good_film_adaption_of_the_book!:coachtim,5,1
B0006N2DS8:not_your_ordinary_chick_flick:roy_l._jansen,4,0
"0783240295:bone_collector-_a_thriller!:connie_k._robison_""cowgirl,_thriller_seeker""",5,1
"B00024I2TA:classic_film_making_on_a_grand_scale.__a_truly_epic_film.:w._n._stape_""nj_review_guy""",5,1
B00003CXA6:this_is_a_great_movie!:carla_june_bishop,5,1
"B000BVM1UK:house_of_elliot_2:billie_a._rodgers_""billiearod""",5,1
"B00064LJVE:an_interesting,_dramatic_movie_sprinkled_with_suspense:caj",5,1
B00003CXA6:we_do_what_we_must_do.:david_a._baer,5,1
B0000YWQ26:great_exercise_video_for_kids!:r._landry,5,1
"B00024I2TA:a_very_good_horse_race_movie:lonnie_e._holder_""the_review's_the_thing""",5,1
B00005JKTY:schoolhouse_rock_still_rocks!:susan_l._dandrea,5,1
B00005JKTY:love_it!:annie,5,1
"B000E33VZE:roll_on_season_3......:n._crestani_""natty_nat""",5,1
"B00024I2TA:let's_make_this_short_and_sweet...:andrew_olson_""i'm_confused.__wait,_maybe_i'm_not...""",1,0
"B00003CXA6:flawed,_but_effective:straitjacket_fits_""straitjacket_fits""",4,1
B00005LC5D:one_of_the_funniest_movies_ever!:golden_girl,5,1
B00024I2TA:old-fashioned_adventure_tale:craig_connell,2,0
B00005JKTY:the_schoolhouse_still_rocks!:b._mcfall,1,1
"B00004CWNR:""yes_they_deserve_to_die_and_i_hope_they_burn_in_heck!"":film_noir_fedora",5,1
"B000BVM1UK:nice_series,_romances_a_trifle_annoying...:ladynaava_""ladynaava""",5,1
B0002CX1WA:one_of_the_best_entertaining_shows_ever...:s._hsu,5,1
B0006N2DS8:get_it!:jennifer_schlosberg,5,1
"0783240295:a_major_disappointment_:damian_""the_dark_one_is_i""",5,1
"B00005JKTY:as_good_as_you_remember_it_from_all_those_years_ago:jeg_""jeg""",5,1
"B000E33VZE:i_dream_of_jeannie,_season_one:tammy_helm",5,1
"B000E33VZE:like_""lighten_up_already_2""_said_in_a_review:j._johnson_""jerry_a_southern_movie_fan_!""",1,0
"B00024I2TA:""nobody_hurts_my_horse""__~__life_after_aragorn:brian_e._erland_""rainbow_sphinx""",5,1
B0000YWQ26:excellent_exercise_dvd:mum_and_professional_nanny,5,1
B00004CWNR:time_and_'social_progress'_make_this_film_maintain_it_poignancy:grady_harp,5,1
B00005LC5D:funny_and_true_to_life_if_you_know_people_like_this:a_c_shields,5,1
"B00005JKTY:retro_fun!:anthony_panchyshyn_""buyer""",5,1
"0783240295:as_always_a_great_movie_with_a_great_actor:yoko_""yoko""",5,1
B000E33VZE:coloring_is_terrible!:dr._fritz_juengling,1,0
B00005JKTY:great!!!!:todd_c._harshman,5,1
"B0000YWQ26:child_didn't_like:kimberly_r._myers_""kmmaryville""",5,1
"B00024I2TA:hidalgo:j._j_""justjulia01""",5,1
"B00004CWNR:a_time_to_think:h._graham_""bonzobooklover""",5,1
B0006N2DS8:the_best_family_there_is:a._parise,5,1
B00064LJVE:a_utopia_with_dark_edges_and_shadowy_cornerspaces:ellie_reasoner,5,1
"B0000YWQ26:my_kids_love_kick_to_get_fit_jr._for_kids:school_kids_""school""",5,1
B00024I2TA:a_really_well_done_film:linda_m._nekl,5,1
"B00005JKTY:great_educational_tool:l._quinn_""greeneyedcelt""",5,1
B000E33VZE:excellent_first_season.:brian's_reviews,5,1
B00064LJVE:if_you_like_the_back_of_william_hurt's_head...:therese_bohn,1,0
B00064LJVE:highly_recommended:jamie_ott,5,1
"B00004CWNR:big_name_cast_adds_up_to_unfocussed_dud._the_worst_movie_of_this_genre.:benito_vasquez_""benji""",2,0
"B00004CWNR:""you're_just_like_them!"":damian_""the_dark_one_is_i""",5,1
"B00064LJVE:""she_is_led_by_love._the_world_moves_for_love._it_kneels_before_it_in_awe."":jim",1,0
B00003CXA6:an_outstanding_movie:kyle_pratt,5,1
"B0006N2DS8:unwatchable:steven_m._schmidt_""adaaric""",2,0
"0783240295:ridiculously_non-believable:c._todaro_""chazzt""",1,0
"B0002CX1WA:apprentice_who:mary_martha_""eye_two_eye""",5,1
B00005LC5D:god_help_me..._i_work_with_people_just_like_this!!:j._arena,5,1
B00024I2TA:great_entertainment:beverly_swanson,5,1
B00004CWNR:a_time_to_kill:karpani,5,1
"B0000TG9E2:""off_with_her_head!!!!!!!!!!"":adrienne_miller",5,1
0783240295:very_exciting_thriller!!!:r._anderson,5,1
B00064LJVE:total_garbage:krexel,1,0
"B0000TG9E2:wonderland_with_alice:sigfrido_burgos_""dr._ziggyburgosjr""",5,0
0783240295:wannabe_se7en:jason,5,0
B00005LC5D:the_funniest_movie_i've_ever_seen_:d._berry,5,1
B00005LC5D:funny_stuff.:ross_reynolds,5,1
"B0000TG9E2:a_beautiful_animated_daydream_that_charms_the_imagination:forrest_c._hopson_""starwatcher""",5,1
"B00064LJVE:not_a_horror,_but_one_of_my_all-time_favorite_shyamalan_films...:m.d._edwards_""avid_aesthete""",5,0
"0783240295:a_solid,_emblematic_and_first-rate_thriller!:hiram_gomez_pardo",5,1
